iter	Passed	Remaining
0	3	5106
1	6	4586
2	8	4341
3	11	4264
4	13	4173
5	16	4015
6	18	3921
7	20	3822
8	22	3738
9	24	3645
10	26	3579
11	28	3509
12	30	3454
13	32	3401
14	33	3364
15	35	3322
16	37	3279
17	39	3252
18	41	3223
19	43	3196
20	44	3155
21	46	3129
22	48	3095
23	50	3079
24	52	3068
25	53	3051
26	55	3034
27	57	3024
28	59	3011
29	61	3002
30	63	2997
31	65	2994
32	67	2995
33	69	2982
34	71	2981
35	73	2970
36	75	2969
37	76	2958
38	78	2953
39	80	2941
40	82	2935
41	84	2932
42	86	2930
43	88	2926
44	90	2924
45	92	2916
46	94	2915
47	96	2910
48	98	2903
49	99	2895
50	101	2885
51	103	2877
52	105	2869
53	107	2867
54	108	2860
55	110	2853
56	112	2851
57	114	2850
58	116	2845
59	118	2843
60	120	2837
61	121	2826
62	123	2818
63	125	2811
64	127	2808
65	129	2803
66	130	2800
67	132	2797
68	134	2791
69	136	2787
70	138	2780
71	140	2776
72	141	2775
73	143	2774
74	146	2776
75	148	2776
76	150	2778
77	152	2775
78	153	2769
79	155	2765
80	157	2762
81	159	2761
82	161	2756
83	163	2751
84	165	2748
85	166	2743
86	168	2740
87	170	2736
88	172	2738
89	174	2739
90	176	2739
91	178	2737
92	181	2742
93	183	2739
94	185	2740
95	187	2738
96	189	2737
97	191	2736
98	193	2735
99	195	2732
100	197	2729
101	198	2725
102	200	2725
103	202	2720
104	204	2719
105	206	2714
106	208	2712
107	210	2708
108	212	2708
109	214	2709
110	216	2708
111	218	2706
112	220	2703
113	222	2699
114	223	2696
115	225	2693
116	227	2691
117	229	2688
118	231	2685
119	233	2682
120	235	2680
121	237	2680
122	239	2679
123	241	2677
124	243	2674
125	245	2675
126	247	2674
127	249	2674
128	251	2671
129	253	2669
130	255	2666
131	257	2664
132	259	2662
133	260	2660
134	262	2656
135	264	2655
136	266	2652
137	268	2649
138	270	2647
139	272	2643
140	273	2640
141	275	2638
142	278	2638
143	279	2635
144	281	2634
145	283	2631
146	285	2630
147	287	2628
148	289	2627
149	291	2625
150	293	2625
151	295	2622
152	297	2622
153	299	2619
154	301	2618
155	303	2615
156	305	2612
157	307	2611
158	309	2610
159	311	2609
160	313	2608
161	315	2605
162	317	2602
163	319	2600
164	321	2598
165	323	2596
166	325	2594
167	327	2593
168	329	2591
169	330	2588
170	332	2584
171	334	2582
172	336	2579
173	338	2578
174	340	2578
175	342	2577
176	344	2575
177	346	2573
178	348	2571
179	350	2569
180	352	2566
181	354	2566
182	356	2564
183	358	2563
184	360	2560
185	362	2559
186	364	2556
187	366	2554
188	367	2552
189	369	2550
190	372	2549
191	374	2548
192	375	2543
193	377	2541
194	379	2538
195	381	2535
196	383	2534
197	385	2535
198	387	2534
199	389	2530
200	391	2530
201	393	2527
202	395	2525
203	397	2523
204	399	2523
205	401	2522
206	403	2523
207	405	2519
208	407	2518
209	410	2519
210	412	2517
211	414	2515
212	416	2513
213	417	2511
214	419	2509
215	421	2507
216	423	2505
217	425	2502
218	427	2501
219	429	2498
220	431	2497
221	433	2495
222	435	2495
223	437	2494
224	440	2494
225	442	2493
226	444	2492
227	446	2490
228	448	2489
229	450	2488
230	452	2487
231	454	2485
232	456	2484
233	458	2481
234	460	2480
235	462	2478
236	464	2476
237	466	2473
238	468	2471
239	470	2469
240	472	2467
241	474	2465
242	476	2464
243	478	2462
244	480	2460
245	482	2458
246	484	2456
247	486	2454
248	488	2454
249	490	2452
250	492	2450
251	494	2447
252	496	2445
253	498	2443
254	500	2442
255	502	2439
256	504	2438
257	506	2437
258	508	2436
259	510	2433
260	512	2432
261	514	2430
262	516	2429
263	518	2427
264	520	2423
265	521	2421
266	524	2420
267	525	2415
268	527	2413
269	529	2411
270	531	2409
271	533	2407
272	535	2404
273	537	2403
274	539	2401
275	541	2399
276	543	2397
277	545	2396
278	547	2394
279	549	2392
280	551	2391
281	553	2389
282	555	2386
283	556	2384
284	558	2382
285	560	2380
286	562	2378
287	564	2376
288	566	2375
289	569	2376
290	571	2374
291	573	2373
292	575	2371
293	577	2369
294	579	2367
295	581	2365
296	583	2363
297	585	2361
298	587	2359
299	589	2358
300	591	2355
301	593	2354
302	595	2351
303	597	2349
304	599	2347
305	601	2345
306	603	2345
307	605	2343
308	607	2340
309	609	2338
310	611	2337
311	613	2336
312	615	2334
313	617	2332
314	619	2330
315	621	2328
316	623	2326
317	625	2325
318	627	2322
319	629	2320
320	631	2318
321	633	2317
322	635	2314
323	637	2312
324	639	2310
325	641	2308
326	643	2306
327	645	2305
328	647	2303
329	649	2301
330	651	2300
331	653	2298
332	655	2297
333	657	2295
334	659	2293
335	661	2291
336	663	2289
337	665	2287
338	667	2286
339	669	2284
340	671	2282
341	673	2280
342	675	2278
343	677	2275
344	679	2274
345	681	2272
346	683	2271
347	685	2269
348	687	2267
349	689	2265
350	691	2263
351	693	2260
352	695	2259
353	697	2257
354	699	2255
355	701	2253
356	703	2251
357	705	2250
358	707	2248
359	709	2246
360	711	2244
361	713	2241
362	715	2239
363	716	2237
364	718	2235
365	720	2232
366	722	2231
367	724	2229
368	726	2227
369	728	2224
370	730	2222
371	732	2220
372	734	2217
373	736	2216
374	738	2215
375	740	2214
376	743	2213
377	745	2211
378	747	2210
379	749	2209
380	751	2207
381	753	2206
382	755	2204
383	757	2202
384	760	2201
385	762	2199
386	764	2197
387	766	2196
388	768	2195
389	770	2193
390	772	2191
391	774	2189
392	776	2188
393	778	2185
394	780	2184
395	782	2182
396	784	2180
397	786	2178
398	788	2176
399	790	2174
400	792	2172
401	794	2170
402	796	2168
403	798	2166
404	800	2165
405	802	2163
406	804	2160
407	806	2158
408	808	2156
409	810	2154
410	812	2153
411	814	2151
412	816	2149
413	818	2147
414	820	2145
415	822	2143
416	824	2142
417	826	2139
418	828	2138
419	830	2136
420	832	2134
421	834	2132
422	836	2130
423	838	2128
424	840	2126
425	842	2123
426	844	2121
427	846	2119
428	848	2117
429	850	2115
430	852	2113
431	854	2112
432	856	2110
433	858	2108
434	860	2106
435	862	2104
436	864	2102
437	866	2100
438	868	2098
439	870	2096
440	872	2094
441	874	2092
442	876	2091
443	878	2089
444	880	2087
445	882	2085
446	884	2083
447	886	2082
448	889	2081
449	890	2078
450	893	2077
451	895	2075
452	897	2073
453	899	2071
454	901	2069
455	902	2067
456	904	2065
457	906	2063
458	908	2061
459	910	2058
460	912	2057
461	914	2055
462	916	2053
463	918	2051
464	920	2049
465	922	2047
466	924	2045
467	926	2043
468	928	2041
469	930	2039
470	932	2037
471	934	2035
472	936	2033
473	938	2031
474	940	2030
475	942	2028
476	944	2025
477	946	2023
478	948	2021
479	950	2019
480	952	2017
481	954	2014
482	956	2012
483	957	2010
484	959	2008
485	961	2007
486	963	2004
487	965	2002
488	967	2000
489	969	1999
490	971	1996
491	973	1995
492	976	1993
493	978	1992
494	980	1990
495	982	1988
496	984	1986
497	986	1984
498	988	1982
499	990	1980
500	992	1978
501	994	1976
502	996	1974
503	998	1972
504	1000	1970
505	1002	1968
506	1003	1966
507	1006	1964
508	1007	1962
509	1010	1960
510	1011	1958
511	1013	1956
512	1015	1954
513	1018	1953
514	1020	1951
515	1022	1949
516	1024	1947
517	1026	1945
518	1028	1943
519	1030	1941
520	1031	1938
521	1033	1936
522	1035	1934
523	1037	1932
524	1039	1930
525	1041	1928
526	1043	1926
527	1045	1924
528	1047	1922
529	1049	1920
530	1051	1918
531	1053	1916
532	1055	1914
533	1057	1912
534	1059	1910
535	1060	1907
536	1063	1906
537	1064	1904
538	1066	1902
539	1068	1900
540	1070	1898
541	1072	1895
542	1074	1893
543	1076	1891
544	1077	1888
545	1079	1886
546	1082	1885
547	1084	1883
548	1086	1881
549	1088	1879
550	1090	1877
551	1092	1875
552	1094	1873
553	1096	1871
554	1098	1869
555	1100	1867
556	1101	1865
557	1103	1863
558	1105	1861
559	1107	1859
560	1109	1857
561	1111	1855
562	1113	1853
563	1116	1852
564	1117	1850
565	1119	1847
566	1121	1845
567	1123	1844
568	1125	1841
569	1127	1839
570	1129	1837
571	1131	1835
572	1133	1833
573	1135	1831
574	1137	1829
575	1139	1827
576	1141	1825
577	1143	1823
578	1145	1821
579	1147	1820
580	1149	1818
581	1151	1816
582	1153	1814
583	1155	1812
584	1157	1809
585	1158	1807
586	1160	1805
587	1162	1803
588	1164	1801
589	1166	1799
590	1168	1797
591	1170	1795
592	1172	1793
593	1174	1791
594	1176	1789
595	1178	1787
596	1180	1786
597	1182	1783
598	1184	1782
599	1186	1780
600	1188	1778
601	1190	1776
602	1192	1774
603	1194	1772
604	1197	1770
605	1198	1768
606	1200	1766
607	1202	1764
608	1204	1762
609	1206	1760
610	1208	1758
611	1210	1756
612	1212	1754
613	1214	1753
614	1216	1751
615	1218	1749
616	1220	1747
617	1222	1744
618	1224	1742
619	1226	1741
620	1228	1739
621	1230	1737
622	1232	1735
623	1234	1733
624	1236	1731
625	1238	1729
626	1240	1727
627	1242	1725
628	1244	1723
629	1246	1721
630	1248	1719
631	1250	1717
632	1252	1715
633	1254	1713
634	1256	1711
635	1258	1709
636	1260	1707
637	1262	1705
638	1264	1703
639	1266	1701
640	1268	1699
641	1269	1697
642	1271	1694
643	1273	1692
644	1275	1690
645	1277	1688
646	1279	1686
647	1281	1685
648	1283	1683
649	1285	1681
650	1287	1679
651	1289	1677
652	1291	1675
653	1293	1672
654	1295	1670
655	1297	1669
656	1299	1666
657	1300	1664
658	1302	1662
659	1304	1660
660	1306	1658
661	1308	1656
662	1311	1655
663	1312	1653
664	1315	1651
665	1317	1649
666	1319	1647
667	1321	1645
668	1323	1643
669	1325	1641
670	1327	1639
671	1329	1637
672	1331	1635
673	1333	1633
674	1334	1631
675	1336	1629
676	1338	1627
677	1340	1625
678	1342	1623
679	1344	1621
680	1346	1618
681	1348	1616
682	1350	1615
683	1352	1613
684	1354	1610
685	1355	1608
686	1358	1607
687	1360	1605
688	1362	1603
689	1364	1601
690	1366	1599
691	1368	1597
692	1370	1595
693	1372	1593
694	1374	1591
695	1376	1589
696	1377	1587
697	1380	1585
698	1382	1584
699	1384	1582
700	1387	1581
701	1389	1578
702	1391	1577
703	1393	1575
704	1395	1573
705	1397	1571
706	1398	1569
707	1400	1567
708	1402	1565
709	1404	1562
710	1406	1561
711	1408	1558
712	1410	1557
713	1412	1555
714	1414	1552
715	1416	1550
716	1418	1549
717	1420	1546
718	1422	1544
719	1424	1542
720	1425	1540
721	1427	1538
722	1429	1536
723	1431	1534
724	1433	1532
725	1435	1530
726	1437	1528
727	1439	1526
728	1441	1524
729	1443	1522
730	1445	1520
731	1447	1518
732	1449	1516
733	1451	1514
734	1453	1512
735	1455	1511
736	1457	1508
737	1459	1507
738	1461	1504
739	1463	1502
740	1465	1500
741	1466	1498
742	1468	1496
743	1470	1494
744	1472	1492
745	1474	1489
746	1476	1487
747	1478	1486
748	1480	1484
749	1482	1482
750	1484	1480
751	1486	1478
752	1488	1476
753	1490	1474
754	1492	1472
755	1494	1470
756	1496	1468
757	1498	1466
758	1499	1464
759	1501	1462
760	1503	1460
761	1505	1458
762	1507	1456
763	1509	1454
764	1511	1452
765	1513	1450
766	1515	1448
767	1517	1446
768	1519	1444
769	1521	1442
770	1523	1440
771	1524	1438
772	1526	1435
773	1528	1433
774	1531	1432
775	1533	1430
